root@android:/ # getevent                                                                                                                                                                                                         
add device 1: /dev/input/event2
  name:     "3M 3M MicroTouch USB controller"
add device 2: /dev/input/event0
  name:     "rk29-keypad"
add device 3: /dev/input/event1
  name:     "rkxx-remotectl"
/dev/input/event2: 0003 0039 00000004
/dev/input/event2: 0003 0035 00006e10
/dev/input/event2: 0003 0036 000066cd
/dev/input/event2: 0003 002f 00000001
/dev/input/event2: 0003 0039 00000005
/dev/input/event2: 0003 0035 00007316
/dev/input/event2: 0003 0036 000063d1
/dev/input/event2: 0003 002f 00000002
/dev/input/event2: 0003 0039 00000006
/dev/input/event2: 0003 0035 00006b00
/dev/input/event2: 0003 0036 000071ab
/dev/input/event2: 0001 014a 00000001
/dev/input/event2: 0003 0000 00006e10
/dev/input/event2: 0003 0001 000066cd
/dev/input/event2: 0000 0000 00000000
/dev/input/event2: 0003 002f 00000000
/dev/input/event2: 0003 0035 00006e0d
/dev/input/event2: 0003 0036 000066da
/dev/input/event2: 0003 0001 000066d0
/dev/input/event2: 0000 0000 00000000
/dev/input/event2: 0003 0035 00006e04
/dev/input/event2: 0003 002f 00000001
/dev/input/event2: 0003 0036 000063cd
/dev/input/event2: 0003 0000 00006e0d
/dev/input/event2: 0003 0001 000066d2
/dev/input/event2: 0000 0000 00000000
/dev/input/event2: 0003 002f 00000000
/dev/input/event2: 0003 0035 00006dfa
/dev/input/event2: 0003 0036 000066e3
/dev/input/event2: 0003 002f 00000001
/dev/input/event2: 0003 0036 000063c9
/dev/input/event2: 0003 002f 00000002
/dev/input/event2: 0003 0036 000071b7
/dev/input/event2: 0003 0000 00006e03
/dev/input/event2: 0003 0001 000066da
/dev/input/event2: 0000 0000 00000000
/dev/input/event2: 0003 002f 00000001
/dev/input/event2: 0003 0036 000063c5
/dev/input/event2: 0003 002f 00000002
/dev/input/event2: 0003 0036 000071b9
/dev/input/event2: 0003 0000 00006e00
/dev/input/event2: 0003 0001 000066dc
/dev/input/event2: 0000 0000 00000000
/dev/input/event2: 0003 002f 00000001
/dev/input/event2: 0003 0036 000063c2
/dev/input/event2: 0003 0001 000066dd
/dev/input/event2: 0000 0000 00000000
/dev/input/event2: 0003 002f 00000000
/dev/input/event2: 0003 0036 000066e1
/dev/input/event2: 0003 002f 00000001
/dev/input/event2: 0003 0036 000063c0
/dev/input/event2: 0000 0000 00000000
/dev/input/event2: 0003 002f 00000000
/dev/input/event2: 0003 0035 00006df2
/dev/input/event2: 0003 0036 000066ea
/dev/input/event2: 0003 002f 00000002
/dev/input/event2: 0003 0036 000071b5
/dev/input/event2: 0003 0000 00006dfc
/dev/input/event2: 0003 0001 000066e0
/dev/input/event2: 0000 0000 00000000
/dev/input/event2: 0003 002f 00000000
/dev/input/event2: 0003 0035 00006dee
/dev/input/event2: 0003 0036 000066f7
/dev/input/event2: 0003 002f 00000001
/dev/input/event2: 0003 0036 000063bd
/dev/input/event2: 0003 002f 00000002
/dev/input/event2: 0003 0036 000071b1
/dev/input/event2: 0003 0000 00006df8
/dev/input/event2: 0003 0001 000066eb
/dev/input/event2: 0000 0000 00000000
/dev/input/event2: 0003 002f 00000000
/dev/input/event2: 0003 0035 00006de3
/dev/input/event2: 0003 0036 00006715
/dev/input/event2: 0003 002f 00000001
/dev/input/event2: 0003 0036 000063ba
/dev/input/event2: 0003 002f 00000002
/dev/input/event2: 0003 0036 000071ad
/dev/input/event2: 0003 0000 00006ded
/dev/input/event2: 0003 0001 00006715
/dev/input/event2: 0000 0000 00000000
/dev/input/event2: 0003 002f 00000000
/dev/input/event2: 0003 0039 ffffffff
/dev/input/event2: 0003 002f 00000001
/dev/input/event2: 0003 0039 ffffffff
/dev/input/event2: 0003 002f 00000002
/dev/input/event2: 0003 0036 000071aa
/dev/input/event2: 0003 0000 00006b00
/dev/input/event2: 0003 0001 000071aa
/dev/input/event2: 0000 0000 00000000
/dev/input/event2: 0003 0039 ffffffff
/dev/input/event2: 0001 014a 00000000
/dev/input/event2: 0000 0000 00000000
